date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:32:54	50122/50122	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:54%20GMT	https://devs.budpay.com/settlements	C:/My%20Web%20Sites/buds2s/devs.budpay.com/settlements.html	(from https://devs.budpay.com/server-to-server)
07:32:54	56339/56339	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:55%20GMT	https://devs.budpay.com/refunds	C:/My%20Web%20Sites/buds2s/devs.budpay.com/refunds.html	(from https://devs.budpay.com/server-to-server)
07:32:54	25795/25795	---M--	200	added ('OK')	image/png	etag:%22633f6738-64c3%22	https://devs.budpay.com/img/transfer.png	C:/My%20Web%20Sites/buds2s/devs.budpay.com/img/transfer.png	(from https://devs.budpay.com/server-to-server)
07:32:55	45886/45886	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:55%20GMT	https://devs.budpay.com/bank-list	C:/My%20Web%20Sites/buds2s/devs.budpay.com/bank-list.html	(from https://devs.budpay.com/server-to-server)
07:32:55	45045/45045	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:56%20GMT	https://devs.budpay.com/account-name-validation	C:/My%20Web%20Sites/buds2s/devs.budpay.com/account-name-validation.html	(from https://devs.budpay.com/server-to-server)
07:32:55	48620/48620	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:56%20GMT	https://devs.budpay.com/single-payout	C:/My%20Web%20Sites/buds2s/devs.budpay.com/single-payout.html	(from https://devs.budpay.com/server-to-server)
07:32:56	51279/51279	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:56%20GMT	https://devs.budpay.com/bulk-payout	C:/My%20Web%20Sites/buds2s/devs.budpay.com/bulk-payout.html	(from https://devs.budpay.com/server-to-server)
07:32:56	48294/48294	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:57%20GMT	https://devs.budpay.com/verify-payout	C:/My%20Web%20Sites/buds2s/devs.budpay.com/verify-payout.html	(from https://devs.budpay.com/server-to-server)
07:32:56	44573/44573	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:57%20GMT	https://devs.budpay.com/payout-fees	C:/My%20Web%20Sites/buds2s/devs.budpay.com/payout-fees.html	(from https://devs.budpay.com/server-to-server)
07:32:56	43859/43859	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:57%20GMT	https://devs.budpay.com/wallet-balance	C:/My%20Web%20Sites/buds2s/devs.budpay.com/wallet-balance.html	(from https://devs.budpay.com/server-to-server)
07:32:57	52438/52438	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:57%20GMT	https://devs.budpay.com/wallet-transactions	C:/My%20Web%20Sites/buds2s/devs.budpay.com/wallet-transactions.html	(from https://devs.budpay.com/server-to-server)
07:32:57	16690/16690	---M--	200	added ('OK')	image/png	etag:%22633f6738-4132%22	https://devs.budpay.com/img/utility.png	C:/My%20Web%20Sites/buds2s/devs.budpay.com/img/utility.png	(from https://devs.budpay.com/server-to-server)
07:32:57	50479/50479	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:58%20GMT	https://devs.budpay.com/airtime	C:/My%20Web%20Sites/buds2s/devs.budpay.com/airtime.html	(from https://devs.budpay.com/server-to-server)
07:32:58	55077/55077	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:58%20GMT	https://devs.budpay.com/internet	C:/My%20Web%20Sites/buds2s/devs.budpay.com/internet.html	(from https://devs.budpay.com/server-to-server)
07:32:58	60444/60444	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:59%20GMT	https://devs.budpay.com/tv	C:/My%20Web%20Sites/buds2s/devs.budpay.com/tv.html	(from https://devs.budpay.com/server-to-server)
07:32:58	57949/57949	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:32:59%20GMT	https://devs.budpay.com/electricity	C:/My%20Web%20Sites/buds2s/devs.budpay.com/electricity.html	(from https://devs.budpay.com/server-to-server)
07:32:59	43535/43535	---M--	200	added ('OK')	image/png	etag:%22633f6738-aa0f%22	https://devs.budpay.com/img/identity.png	C:/My%20Web%20Sites/buds2s/devs.budpay.com/img/identity.png	(from https://devs.budpay.com/server-to-server)
07:32:59	44630/44630	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:33:00%20GMT	https://devs.budpay.com/verify-account-name	C:/My%20Web%20Sites/buds2s/devs.budpay.com/verify-account-name.html	(from https://devs.budpay.com/server-to-server)
07:32:59	47124/47124	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:33:00%20GMT	https://devs.budpay.com/bvn-verification	C:/My%20Web%20Sites/buds2s/devs.budpay.com/bvn-verification.html	(from https://devs.budpay.com/server-to-server)
07:33:00	49058/49058	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:33:00%20GMT	https://devs.budpay.com/libraries	C:/My%20Web%20Sites/buds2s/devs.budpay.com/libraries.html	(from https://devs.budpay.com/server-to-server)
07:33:00	31350/31350	---M--	200	added ('OK')	image/png	etag:%22633f6738-7a76%22	https://devs.budpay.com/img/plugin.png	C:/My%20Web%20Sites/buds2s/devs.budpay.com/img/plugin.png	(from https://devs.budpay.com/server-to-server)
07:33:01	49376/49376	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:33:01%20GMT	https://devs.budpay.com/webhook	C:/My%20Web%20Sites/buds2s/devs.budpay.com/webhook.html	(from https://devs.budpay.com/server-to-server)
07:33:02	36411/36411	---M--	200	added ('OK')	image/png	etag:%22633f6738-8e3b%22	https://devs.budpay.com/img/webhook.png	C:/My%20Web%20Sites/buds2s/devs.budpay.com/img/webhook.png	(from https://devs.budpay.com/server-to-server)
07:33:02	41926/41926	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:33:03%20GMT	https://devs.budpay.com/signature-calculator	C:/My%20Web%20Sites/buds2s/devs.budpay.com/signature-calculator.html	(from https://devs.budpay.com/server-to-server)
07:33:02	24671/24671	---M--	200	added ('OK')	image/png	etag:%22633f6738-605f%22	https://devs.budpay.com/img/encryption.png	C:/My%20Web%20Sites/buds2s/devs.budpay.com/img/encryption.png	(from https://devs.budpay.com/server-to-server)
07:33:02	45018/45018	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:33:03%20GMT	https://devs.budpay.com/responses	C:/My%20Web%20Sites/buds2s/devs.budpay.com/responses.html	(from https://devs.budpay.com/server-to-server)
07:33:03	409/409	---M--	200	added ('OK')	image/png	etag:%2263335fb8-199%22	https://devs.budpay.com/img/side-nav/coding.png	C:/My%20Web%20Sites/buds2s/devs.budpay.com/img/side-nav/coding.png	(from https://devs.budpay.com/server-to-server)
07:33:03	44909/44909	---MCZ	200	added ('OK')	text/html	date:Tue,%2021%20Mar%202023%2006:33:04%20GMT	https://devs.budpay.com/currency-code	C:/My%20Web%20Sites/buds2s/devs.budpay.com/currency-code.html	(from https://devs.budpay.com/server-to-server)
07:33:04	6603/6603	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Mar%202023%2006:33:04%20GMT	https://devs.budpay.com/GET	C:/My%20Web%20Sites/buds2s/devs.budpay.com/GET	(from https://devs.budpay.com/server-to-server)
07:33:04	152774/152774	---M--	200	added ('OK')	image/png	etag:%2263362d4e-254c6%22	https://devs.budpay.com/img/emv3DS.png	C:/My%20Web%20Sites/buds2s/devs.budpay.com/img/emv3DS.png	(from https://devs.budpay.com/server-to-server)
07:33:04	6603/6603	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2021%20Mar%202023%2006:33:05%20GMT	https://devs.budpay.com/img/favicon.png	C:/My%20Web%20Sites/buds2s/devs.budpay.com/img/favicon.png	(from https://devs.budpay.com/server-to-server)
07:33:04	89476/89476	---M--	200	added ('OK')	application/javascript	etag:%2263335fb8-15d84%22	https://devs.budpay.com/js/jquery-3.5.1.min.js	C:/My%20Web%20Sites/buds2s/devs.budpay.com/js/jquery-3.5.1.min.js	(from https://devs.budpay.com/server-to-server)
07:33:04	744/744	---M--	200	added ('OK')	application/javascript	etag:%2263335fb8-2e8%22	https://devs.budpay.com/js/pre-loader.js	C:/My%20Web%20Sites/buds2s/devs.budpay.com/js/pre-loader.js	(from https://devs.budpay.com/server-to-server)
07:33:05	21003/21003	---M--	200	added ('OK')	application/javascript	etag:%2263335fb8-520b%22	https://devs.budpay.com/assets/bootstrap/js/popper.min.js	C:/My%20Web%20Sites/buds2s/devs.budpay.com/assets/bootstrap/js/popper.min.js	(from https://devs.budpay.com/server-to-server)
07:33:05	58072/58072	---M--	200	added ('OK')	application/javascript	etag:%2263335fb8-e2d8%22	https://devs.budpay.com/assets/bootstrap/js/bootstrap.min.js	C:/My%20Web%20Sites/buds2s/devs.budpay.com/assets/bootstrap/js/bootstrap.min.js	(from https://devs.budpay.com/server-to-server)
07:33:06	45163/45163	---M--	200	added ('OK')	application/javascript	etag:%2263335fb8-b06b%22	https://devs.budpay.com/assets/bootstrap/js/bootstrap-select.min.js	C:/My%20Web%20Sites/buds2s/devs.budpay.com/assets/bootstrap/js/bootstrap-select.min.js	(from https://devs.budpay.com/server-to-server)
07:33:07	20216/20216	---M--	200	added ('OK')	application/javascript	etag:%2263335fb8-4ef8%22	https://devs.budpay.com/assets/magnify-pop/jquery.magnific-popup.min.js	C:/My%20Web%20Sites/buds2s/devs.budpay.com/assets/magnify-pop/jquery.magnific-popup.min.js	(from https://devs.budpay.com/server-to-server)
07:33:08	39900/39900	---M--	200	added ('OK')	application/javascript	etag:%2263335fb8-9bdc%22	https://devs.budpay.com/assets/tooltipster/js/tooltipster.bundle.min.js	C:/My%20Web%20Sites/buds2s/devs.budpay.com/assets/tooltipster/js/tooltipster.bundle.min.js	(from https://devs.budpay.com/server-to-server)
07:33:08	8929/8929	---M--	200	added ('OK')	application/javascript	etag:%2263335fb8-22e1%22	https://devs.budpay.com/js/jquery.parallax-scroll.js	C:/My%20Web%20Sites/buds2s/devs.budpay.com/js/jquery.parallax-scroll.js	(from https://devs.budpay.com/server-to-server)
07:33:08	2942/2942	---M--	200	added ('OK')	application/javascript	etag:%2263335fb8-b7e%22	https://devs.budpay.com/assets/niceselectpicker/jquery.nice-select.min.js	C:/My%20Web%20Sites/buds2s/devs.budpay.com/assets/niceselectpicker/jquery.nice-select.min.js	(from https://devs.budpay.com/server-to-server)
